date,stock_id,Open,Close,High,Low,Volume
2009/1/6,1,9.8,10.3,10.43,9.73,635330
2009/1/7,1,10.2,9.99,10.4,9.99,611960
2009/1/8,1,9.75,9.6,9.76,9.5,392572
2009/1/9,1,9.6,9.85,9.93,9.6,604457
2009/1/12,1,9.78,9.86,10.08,9.67,415480
2009/1/13,1,8.88,9.47,9.63,8.88,1730708
2009/1/14,1,9.3,10.2,10.25,9.3,765325
2009/1/15,1,10.01,10.3,10.6,9.97,895014
2009/1/16,1,10.34,10.62,10.94,10.34,664370
2009/1/19,1,10.65,11.11,11.35,10.65,936335
2009/1/20,1,11.07,11.36,11.4,11.02,472975
2009/1/21,1,11.15,11.79,12.2,11,824456
2009/1/22,1,11.8,11.79,12,11.4,469410
2009/1/23,1,11.58,11.64,11.93,11.58,345713
2009/2/2,1,11.76,11.66,11.99,11.51,329749
2009/2/3,1,11.66,11.95,12.06,11.6,368640
2009/2/4,1,12.02,13.04,13.15,12.02,540952
2009/2/5,1,13.07,12.8,13.2,12.63,373428
2009/2/6,1,12.82,13.19,13.44,12.82,324698
