date,stock_id,Open,Close,High,Low,Volume,成交额,振幅,涨跌幅,涨跌额,换手率
2009-01-05,000001,9.57,9.71,9.74,9.51,340827,327584256.0,2.43,2.64,0.25,1.22
2009-01-06,000001,9.8,10.3,10.43,9.73,635330,644107968.0,7.21,6.08,0.59,2.28
2009-01-07,000001,10.2,9.99,10.4,9.99,611960,622328640.0,3.98,-3.01,-0.31,2.2
2009-01-08,000001,9.75,9.6,9.76,9.5,392572,379270688.0,2.6,-3.9,-0.39,1.41
2009-01-09,000001,9.6,9.85,9.93,9.6,604457,589480448.0,3.44,2.6,0.25,2.17
2009-01-12,000001,9.78,9.86,10.08,9.67,415480,409864352.0,4.16,0.1,0.01,1.49
2009-01-13,000001,8.88,9.47,9.63,8.88,1730708,1592403456.0,7.61,-3.96,-0.39,6.22
2009-01-14,000001,9.3,10.2,10.25,9.3,765325,752488576.0,10.03,7.71,0.73,2.75
2009-01-15,000001,10.01,10.3,10.6,9.97,895014,928498880.0,6.18,0.98,0.1,3.21
2009-01-16,000001,10.34,10.62,10.94,10.34,664370,710657408.0,5.83,3.11,0.32,2.39
2009-01-19,000001,10.65,11.11,11.35,10.65,936335,1046119936.0,6.59,4.61,0.49,3.36
2009-01-20,000001,11.07,11.36,11.4,11.02,472975,532378880.0,3.42,2.25,0.25,1.7
2009-01-21,000001,11.15,11.79,12.2,11.0,824456,965184768.0,10.56,3.79,0.43,2.96
2009-01-22,000001,11.8,11.79,12.0,11.4,469410,549913088.0,5.09,0.0,0.0,1.69
2009-01-23,000001,11.58,11.64,11.93,11.58,345713,406089408.0,2.97,-1.27,-0.15,1.24
